sample	condition	tissue	timepoint
sample_157	treated	cambium	day0
sample_158	treated	cambium	day0
sample_159	treated	cambium	day0
sample_160	treated	cambium	day0
sample_221	treated	cambium	day0
sample_222	treated	cambium	day0
sample_223	treated	cambium	day0
sample_224	treated	cambium	day0
sample_253	treated	cambium	day0
sample_254	treated	cambium	day0
sample_255	treated	cambium	day0
sample_256	treated	cambium	day0
sample_277	treated	cambium	day0
sample_278	treated	cambium	day0
sample_279	treated	cambium	day0
sample_280	treated	cambium	day0
sample_325	treated	cambium	day0
sample_326	treated	cambium	day0
sample_327	treated	cambium	day0
sample_328	treated	cambium	day0
sample_330	treated	cambium	day0
sample_331	treated	cambium	day0
sample_332	treated	cambium	day0
sample_37	treated	cambium	day0
sample_38	treated	cambium	day0
sample_39	treated	cambium	day0
sample_40	treated	cambium	day0
sample_405	treated	cambium	day0
sample_406	treated	cambium	day0
sample_407	treated	cambium	day0
sample_408	treated	cambium	day0
sample_417	treated	cambium	day0
sample_418	treated	cambium	day0
sample_419	treated	cambium	day0
sample_420	treated	cambium	day0
sample_445	treated	cambium	day0
sample_446	treated	cambium	day0
sample_447	treated	cambium	day0
sample_448	treated	cambium	day0
sample_489	treated	cambium	day0
sample_490	treated	cambium	day0
sample_491	treated	cambium	day0
sample_492	treated	cambium	day0
sample_509	treated	cambium	day0
sample_510	treated	cambium	day0
sample_511	treated	cambium	day0
sample_512	treated	cambium	day0
sample_M1	treated	cambium	day0
sample_M10	treated	cambium	day0
sample_M11	treated	cambium	day0
sample_M12	treated	cambium	day0
sample_M13	treated	cambium	day0
sample_M14	treated	cambium	day0
sample_M15	treated	cambium	day0
sample_M16	treated	cambium	day0
sample_M17	treated	cambium	day0
sample_M18	treated	cambium	day0
sample_M19	treated	cambium	day0
sample_M2	treated	cambium	day0
sample_M20	treated	cambium	day0
sample_M21	treated	cambium	day0
sample_M22	treated	cambium	day0
sample_M23	treated	cambium	day0
sample_M24	treated	cambium	day0
sample_M25	treated	cambium	day0
sample_M26	treated	cambium	day0
sample_M27	treated	cambium	day0
sample_M28	treated	cambium	day0
sample_M29	treated	cambium	day0
sample_M3	treated	cambium	day0
sample_M30	treated	cambium	day0
sample_M31	treated	cambium	day0
sample_M32	treated	cambium	day0
sample_M33	treated	cambium	day0
sample_M34	treated	cambium	day0
sample_M35	treated	cambium	day0
sample_M36	treated	cambium	day0
sample_M37	treated	cambium	day0
sample_M38	treated	cambium	day0
sample_M39	treated	cambium	day0
sample_M40	treated	cambium	day0
sample_M41	treated	cambium	day0
sample_M42	treated	cambium	day0
sample_M43	treated	cambium	day0
sample_M44	treated	cambium	day0
sample_M45	treated	cambium	day0
sample_M47	treated	cambium	day0
sample_M48	treated	cambium	day0
sample_M49	treated	cambium	day0
sample_M5	treated	cambium	day0
sample_M50	treated	cambium	day0
sample_M51	treated	cambium	day0
sample_M52	treated	cambium	day0
sample_M53	treated	cambium	day0
sample_M54	treated	cambium	day0
sample_M55	treated	cambium	day0
sample_M56	treated	cambium	day0
sample_M57	treated	cambium	day0
sample_M58	treated	cambium	day0
sample_M59	treated	cambium	day0
sample_M6	treated	cambium	day0
sample_M60	treated	cambium	day0
sample_M61	treated	cambium	day0
sample_M62	treated	cambium	day0
sample_M64	treated	cambium	day0
sample_M66	treated	cambium	day0
sample_M67	treated	cambium	day0
sample_M68	treated	cambium	day0
sample_M69	treated	cambium	day0
sample_M7	treated	cambium	day0
sample_M70	treated	cambium	day0
sample_M71	treated	cambium	day0
sample_M73	treated	cambium	day0
sample_M75	treated	cambium	day0
sample_M76	treated	cambium	day0
sample_M77	treated	cambium	day0
sample_M78	treated	cambium	day0
sample_M79	treated	cambium	day0
sample_M8	treated	cambium	day0
sample_M80	treated	cambium	day0
sample_M81	treated	cambium	day0
sample_M82	treated	cambium	day0
sample_M83	treated	cambium	day0
sample_M84	treated	cambium	day0
sample_M85	treated	cambium	day0
sample_M86	treated	cambium	day0
sample_M87	treated	cambium	day0
sample_M88	treated	cambium	day0
sample_M89	treated	cambium	day0
sample_M9	treated	cambium	day0
sample_M90	treated	cambium	day0
sample_M91	treated	cambium	day0
sample_M93	treated	cambium	day0
sample_M94	treated	cambium	day0
sample_M95	treated	cambium	day0
